ID,Station Name,Total Docks,Latitude,Longitude
1.52169E+18,Hampden Ct & Diversey Ave,8,41.9325593,-87.6423847
1.52169E+18,Damen Ave & Wabansia Ave,8,41.9122813,-87.6773211
1.52168E+18,Kedzie Ave & 104th St,8,41.7037764,-87.7013952
1.5637E+18,Lavergne & Fullerton,9,41.923982,-87.7511643
1.67725E+18,Public Rack - Corliss Ave & 133rd St,5,41.653138,-87.601057
1.67725E+18,Public Rack - Harvard Ave & 119th St,1,41.678227,-87.630775
1.67725E+18,Public Rack - Throop St & 109th Pl,4,41.694944,-87.654377
1.67725E+18,Public Rack - Racine Ave & 109th Pl,1,41.694835,-87.653041
1.67725E+18,Public Rack - Greenwood Ave & 87th St,1,41.736263,-87.596634
1.5637E+18,Cicero Ave & Grace St,6,41.94973,-87.7469526
1.5637E+18,Long Ave & Belden Ave,9,41.9227049,-87.760954
1.56101E+18,Pulaski Rd & 21st St,9,41.853452,-87.724541
1.5637E+18,Kilpatrick Ave & Parker Ave,9,41.930736,-87.744082
1.56101E+18,Homan Ave & Fillmore St,9,41.868114,-87.7109257
1.5637E+18,Long Ave & Belmont Ave,9,41.9383071,-87.761663
1.5637E+18,Meade Ave & Diversey Ave,9,41.9309018,-87.7784686
1.5637E+18,Parkside Ave & Armitage Ave,9,41.9169054,-87.7671806
1.5637E+18,Central Ave & Parker Ave,9,41.9301785,-87.7661217
1.56101E+18,Keeler Ave & Roosevelt Rd,9,41.866402,-87.7300171
1.5637E+18,Mulligan Ave & Wellington Ave,9,41.9347409,-87.7844017
1.57595E+18,Menard Ave & Division St,9,41.902269,-87.7704807
1.57111E+18,Meade Ave & Addison St,9,41.9459174,-87.7788824
1.5637E+18,Lockwood Ave & Wrightwood Ave,9,41.9278148,-87.7583757
1.5637E+18,Oak Park & Wellington,9,41.934586,-87.7959613
1.5637E+18,Lamon Ave & Armitage Ave,9,41.9166701,-87.7494873
1.57111E+18,Narragansett Ave & School St,9,41.940128,-87.7864806
1.57111E+18,Central Ave & Roscoe St,9,41.942258,-87.7669331
1.57111E+18,Orange & Addison,9,41.9448846,-87.82423
1.5637E+18,Fullerton & Monitor,9,41.9237918,-87.7723116
1.62272E+18,Mayfield & Roosevelt Rd,9,41.8658158,-87.7717805
655,Hoyne Ave & Balmoral Ave,15,41.979851,-87.681932
194,Wabash Ave & Wacker Pl,19,41.886875,-87.62603
1.67725E+18,Public Rack - Kildare Ave & Division Ave,1,41.902405,-87.732699
1.67725E+18,Public Rack - Cottage Grove Ave & 89th Pl,1,41.731767,-87.604899
1.67725E+18,Public Rack - Drexel Ave & 87th St,1,41.736783,-87.602241
1.67725E+18,Public Rack - Laflin St & 79th St,1,41.750326,-87.66168
1.67725E+18,Public Rack - Halsted St & 80th St,1,41.748175,-87.644238
1.67725E+18,Public Rack - Marquette Ave & 83rd St,1,41.74476,-87.558624
1.67725E+18,Public Rack - Prairie Ave & Garfield Blvd S,10,41.794344,-87.619062
1.56101E+18,Lawndale Ave & 30th St,12,41.8389124,-87.7168955
1.57595E+18,Public Rack - Kildare Ave & Division St,9,41.902393,-87.733598
1.57111E+18,Long & Irving Park,9,41.953038,-87.7621632
1.5637E+18,Kilbourn & Roscoe,9,41.9427319,-87.7395332
1.57595E+18,Lavergne Ave & Division St,9,41.902513,-87.750869
1.57111E+18,Harlem & Irving Park,9,41.9532568,-87.8071434
1.5637E+18,Narragansett & Wrightwood,9,41.927294,-87.7852027
1.5637E+18,Kenosha & Wellington,9,41.9344421,-87.7337799
1.57595E+18,Nordica & Medill,9,41.922278,-87.8020357
1.57595E+18,Narragansett & McLean,9,41.9158931,-87.7851104
1.58224E+18,Kedzie Ave & 52nd St,9,41.7990641,-87.703446
1.57595E+18,Bloomingdale Ave & Harlem Ave,9,41.9120739,-87.8057657
1.57595E+18,Lamon Ave & Chicago Ave,9,41.8952,-87.748223
646,State St & 54th St,11,41.796642,-87.625923
1.57595E+18,Monticello Ave & Chicago Ave,6,41.8952089,-87.7174329
1.57111E+18,Narragansett & Irving Park,9,41.952614,-87.7853829
1.57595E+18,Kildare Ave & Chicago Ave,9,41.8954359,-87.7335726
1.57111E+18,Panama Ave & Grace St,9,41.9476665,-87.829258
1.67725E+18,Public Rack - Ellis Ave & 132nd Pl,1,41.655139,-87.597597
1.57595E+18,Long Ave & North Ave,9,41.909212,-87.760999
1.59154E+18,MTV Hubbard St,6,41.8897772,-87.680351
1.58224E+18,Rockwell St & 63rd St,6,41.7787905,-87.6885894
1.58224E+18,Maplewood Ave & 59th St,9,41.7863375,-87.6874351
1.58224E+18,St Louis Ave & Norman Bobbins Ave,9,41.794422,-87.71137
1.58224E+18,Kedzie Ave & 48th Pl,12,41.8047515,-87.7041145
1.58224E+18,Kedzie Ave & 45th St,6,41.8113904,-87.7040052
1.58224E+18,Richmond St & 59th St,9,41.7865155,-87.6973314
1.58224E+18,California Ave & 36th St,9,41.8282301,-87.6945422
1.58224E+18,Hoyne Ave & 34th St,9,41.8320245,-87.6778387
1.58224E+18,Rockwell St & Archer Ave,9,41.823324,-87.689685
1.58224E+18,Rockwell St & 57th St,6,41.7903484,-87.6889201
