geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70315E+14,17,31,520600,1,41.6954,-87.5354,12348
1.70317E+14,17,31,690300,2,41.7655,-87.6298,12349
1.70312E+14,17,31,170300,5,41.9472,-87.8048,12350
1.70311E+14,17,31,110100,1,41.9876,-87.7646,12351
1.70318E+14,17,31,837300,1,41.8728,-87.7011,12352
1.70318E+14,17,31,833100,4,41.8814,-87.6484,12353
1.70312E+14,17,31,191302,2,41.9187,-87.7659,12354
1.70314E+14,17,31,420800,2,41.7736,-87.6056,12355
1.70318E+14,17,31,831500,1,41.9238,-87.7876,12356
1.7031E+14,17,31,30400,1,41.9891,-87.6701,12357
1.70318E+14,17,31,832500,1,41.922,-87.6652,12358
1.70316E+14,17,31,590700,1,41.8304,-87.6681,12359
1.70311E+14,17,31,80300,2,41.9039,-87.6343,12360
1.70313E+14,17,31,310400,1,41.8581,-87.6516,12361
1.70312E+14,17,31,160800,5,41.9508,-87.713,12362
1.70318E+14,17,31,838000,2,41.8787,-87.6767,12363
1.70318E+14,17,31,839100,2,41.8798,-87.6351,12364
1.70311E+14,17,31,70300,1,41.9326,-87.6491,12365
1.70312E+14,17,31,180100,2,41.9329,-87.7907,12366
1.70313E+14,17,31,271200,1,41.8784,-87.7059,12367
1.7031E+14,17,31,20400,2,42.0073,-87.6896,12368
1.70311E+14,17,31,71400,2,41.9214,-87.6366,12369
1.70311E+14,17,31,140200,2,41.9685,-87.7112,12370
1.70312E+14,17,31,160602,2,41.9547,-87.7079,12371
1.70312E+14,17,31,160700,1,41.9518,-87.6983,12372
1.70318E+14,17,31,839100,1,41.8821,-87.6335,12373
1.70317E+14,17,31,740300,5,41.6965,-87.7204,12374
1.70312E+14,17,31,241200,1,41.9103,-87.684,12375
1.70312E+14,17,31,222900,1,41.9171,-87.7214,12376
1.70311E+14,17,31,81800,1,41.8966,-87.6392,12377
1.70312E+14,17,31,221300,1,41.9246,-87.6976,12378
1.70312E+14,17,31,180100,3,41.9328,-87.7981,12379
1.70318E+14,17,31,832600,2,41.9138,-87.6533,12380
1.70311E+14,17,31,81600,1,41.8891,-87.6284,12381
1.70311E+14,17,31,71700,2,41.9127,-87.6433,12382
1.7031E+14,17,31,20301,2,42.0051,-87.7092,12383
1.70312E+14,17,31,150501,3,41.9604,-87.7818,12384
1.70312E+14,17,31,242000,3,41.9033,-87.664,12385
1.70311E+14,17,31,81100,1,41.9015,-87.6285,12386
1.70312E+14,17,31,242000,3,41.9025,-87.6649,12387
1.70312E+14,17,31,230600,3,41.9062,-87.729,12388
1.70317E+14,17,31,650302,1,41.7778,-87.7201,12389
1.70313E+14,17,31,280100,1,41.8833,-87.644,12390
1.70311E+14,17,31,51400,2,41.9351,-87.6819,12391
1.70312E+14,17,31,160900,2,41.9465,-87.7249,12392
1.70313E+14,17,31,320102,1,41.8884,-87.6244,12393
1.70317E+14,17,31,661000,1,41.7664,-87.6831,12394
1.70312E+14,17,31,220702,2,41.9275,-87.727,12395
1.70317E+14,17,31,671100,1,41.7758,-87.663,12396
1.70313E+14,17,31,252102,1,41.8777,-87.7559,12397
1.7031E+14,17,31,31000,3,41.969,-87.6711,12398
1.70312E+14,17,31,240900,1,41.9028,-87.7018,12399
1.70312E+14,17,31,240300,1,41.9106,-87.6755,12400
1.70311E+14,17,31,63301,2,41.9353,-87.6441,12401
1.70311E+14,17,31,140701,2,41.9683,-87.7146,12402
1.70315E+14,17,31,510100,1,41.72,-87.5537,12403
1.70314E+14,17,31,380600,4,41.8201,-87.6265,12404
1.70311E+14,17,31,50200,2,41.9594,-87.6826,12405
1.70312E+14,17,31,241500,3,41.9105,-87.6726,12406
1.70312E+14,17,31,210602,3,41.932,-87.7166,12407
1.7031E+14,17,31,40202,4,41.9794,-87.6894,12408
1.70312E+14,17,31,243500,2,41.8938,-87.6515,12409
1.70312E+14,17,31,242800,1,41.8956,-87.6941,12410
1.7031E+14,17,31,20500,2,41.9978,-87.6898,12411
1.70313E+14,17,31,290900,2,41.8624,-87.7252,12412
1.70318E+14,17,31,841900,1,41.8758,-87.6473,12413
1.70312E+14,17,31,210100,3,41.9454,-87.7068,12414
1.70312E+14,17,31,240900,1,41.9029,-87.7024,12415
1.70312E+14,17,31,230800,1,41.9099,-87.7165,12416
1.7031E+14,17,31,31300,3,41.9736,-87.6548,12417
1.7031E+14,17,31,10702,1,42.0097,-87.6743,12418
1.7031E+14,17,31,32100,5,41.9554,-87.6512,12419
1.70317E+14,17,31,650400,4,41.766,-87.7223,12420
1.70311E+14,17,31,60500,1,41.954,-87.6641,12421
1.7031E+14,17,31,30601,2,41.989,-87.6583,12422
1.70311E+14,17,31,90200,4,42.0032,-87.8171,12423
1.70311E+14,17,31,81100,1,41.8988,-87.6297,12424
1.70312E+14,17,31,243500,2,41.896,-87.6553,12425
1.70318E+14,17,31,839500,1,41.8312,-87.6193,12426
1.70318E+14,17,31,838100,2,41.879,-87.6691,12427
1.70312E+14,17,31,191100,2,41.9177,-87.7485,12428
1.70317E+14,17,31,720700,2,41.6995,-87.6623,12429
1.70316E+14,17,31,580400,2,41.8137,-87.7047,12430
1.70314E+14,17,31,410700,1,41.7988,-87.5965,12431
1.70318E+14,17,31,831200,1,41.9153,-87.7233,12432
1.70318E+14,17,31,841900,2,41.8678,-87.6468,12433
1.70312E+14,17,31,161100,2,41.9466,-87.7364,12434
1.70318E+14,17,31,830900,2,41.925,-87.6878,12435
1.70318E+14,17,31,839800,1,41.838,-87.6442,12436
1.70315E+14,17,31,520300,2,41.7026,-87.5366,12437
